param_path,value,is_default,n_repeats,trial_id,median.overall.accuracy,stddev.overall.accuracy,median.overall.mean_f1,stddev.overall.mean_f1,median.summary.decay_trivial.mean_f1,stddev.summary.decay_trivial.mean_f1,median.summary.core_persistence.mean_f1,stddev.summary.core_persistence.mean_f1,median.summary.revival.mean_f1,stddev.summary.revival.mean_f1
base_decay_rates.semantic,240.0,False,3,lti-0033,0.9047619047619048,0.023809523809523836,0.7026390296893281,0.01170792857169786,0.6139122315592904,0.0,0.9270833333333333,0.0036084391824352125,0.4288824900589606,0.0
base_decay_rates.episodic,15.0,False,3,lti-0034,0.9047619047619048,0.01374643498070539,0.6892873813376796,0.002396117125404933,0.6139122315592904,0.0,0.9270833333333333,0.00601406530405858,0.4288824900589606,0.0
base_decay_rates.episodic,30.0,False,3,lti-0035,0.9047619047619048,0.01374643498070539,0.6898357395050855,0.006016236617199187,0.6139122315592904,0.001457955225226305,0.9270833333333333,0.027664700398669598,0.4288824900589606,0.0
base_decay_rates.episodic,45.0,True,3,lti-0036,0.9285714285714286,0.041239304942116174,0.687358587027933,0.013328818675551716,0.6139122315592904,0.08935182737458497,0.9270833333333333,0.0036084391824352125,0.4288824900589606,0.0
base_decay_rates.episodic,90.0,False,3,lti-0037,0.8571428571428571,0.01374643498070539,0.6614389599178297,0.0026791843604830655,0.44724556489262374,0.0,0.9270833333333333,0.00601406530405858,0.4288824900589606,0.0
base_decay_rates.episodic,180.0,False,3,lti-0038,0.9047619047619048,0.023809523809523836,0.6603002309219579,0.004348519943806087,0.44724556489262374,0.006873217490352663,0.9270833333333333,0.00601406530405858,0.4288824900589606,0.0
core_session_threshold,1,False,3,lti-0039,0.9047619047619048,0.0,0.6876105396608381,0.004098663065070978,0.6139122315592904,0.01972006700326151,0.9270833333333333,0.0,0.4288824900589606,0.0
core_session_threshold,2,False,3,lti-0040,0.9047619047619048,0.02749286996141078,0.685626412676711,0.01359176599805852,0.6139122315592904,0.08935182737458497,0.9166666666666666,0.00601406530405858,0.4288824900589606,0.0
core_session_threshold,3,True,3,lti-0041,0.9047619047619048,0.01374643498070539,0.6853744600438061,0.0023894716462212516,0.6139122315592904,0.006873217490352663,0.9166666666666666,0.00601406530405858,0.4288824900589606,0.0
core_session_threshold,4,False,3,lti-0042,0.8809523809523809,0.01374643498070539,0.6652010708227978,0.0018796593752159316,0.4497708174178762,0.006272631724745042,0.9270833333333333,0.008419691425682062,0.4288824900589606,0.0032991443953692976
core_session_threshold,6,False,3,lti-0043,0.9047619047619048,0.03636964837266544,0.6856567864130889,0.013218580878434654,0.6139122315592904,0.09622504486493764,0.9270833333333333,0.00601406530405858,0.4288824900589606,0.0
core_access_threshold,3,False,3,lti-0044,0.9285714285714286,0.02749286996141078,0.6876105396608381,0.004905506335833046,0.6139122315592904,0.016495721976846456,0.9270833333333333,0.008419691425682062,0.4288824900589606,0.0
core_access_threshold,5,False,3,lti-0045,0.8809523809523809,0.047619047619047616,0.6874341728178045,0.018898398927077485,0.6139122315592904,0.09622504486493764,0.9270833333333333,0.027664700398669598,0.4288824900589606,0.0
core_access_threshold,10,True,3,lti-0046,0.9047619047619048,0.01374643498070539,0.6880388591367765,0.014376480379151405,0.6139122315592904,0.001457955225226305,0.9270833333333333,0.0,0.4288824900589606,0.0032991443953692976
core_access_threshold,15,False,3,lti-0047,0.9285714285714286,0.01374643498070539,0.6876105396608381,0.0011455362483921746,0.6139122315592904,0.0,0.9270833333333333,0.00601406530405858,0.4288824900589606,0.0
core_access_threshold,20,False,3,lti-0048,0.8809523809523809,0.0,0.6877428147931132,0.0011855669893958175,0.6139122315592904,0.0,0.9270833333333333,0.00601406530405858,0.4288824900589606,0.0
core_stability_threshold,0.6,False,3,lti-0049,0.9047619047619048,0.0,0.687358587027933,0.001080174985932089,0.6139122315592904,0.0,0.9270833333333333,0.00601406530405858,0.4288824900589606,0.0
core_stability_threshold,0.7,False,3,lti-0050,0.9047619047619048,0.0,0.6888010158513141,0.006172703387995159,0.6139122315592904,0.016495721976846456,0.9333333333333333,0.0036084391824352125,0.4288824900589606,0.0
core_stability_threshold,0.85,True,3,lti-0051,0.8809523809523809,0.03636964837266544,0.6876105396608381,0.01392238979897448,0.6139122315592904,0.0998392509953105,0.9270833333333333,0.0036084391824352125,0.4288824900589606,0.0
core_stability_threshold,0.9,False,3,lti-0052,0.9047619047619048,0.01374643498070539,0.6893112199329469,0.002170454702365329,0.6258169934640523,0.014351699460337408,0.9166666666666666,0.00601406530405858,0.4288824900589606,0.0
core_stability_threshold,0.95,False,3,lti-0053,0.9047619047619048,0.01374643498070539,0.6890592673000419,0.00014546492043074013,0.6258169934640523,0.0,0.9270833333333333,0.0,0.4288824900589606,0.0
